© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Organismal Injury and Abnormalities, Reproductive System Disease	ovarian dysgenesis type 3	Ovarian dysgenesis type 3	7.02E-03	 	 	 	 	PSMC3IP	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	pediatric high grade glioma	Pediatric high grade glioma	7.02E-03	 	 	 	 	ENG	1	
Cell-To-Cell Signaling and Interaction, Cellular Function and Maintenance, Inflammatory Response	phagocytosis	Phagocytosis of Helicobacter pylori	7.02E-03	 	 	 	 	PRKCZ	1	
Cellular Function and Maintenance, Inflammatory Response	phagocytosis	Phagocytosis of amyloid fibrils	7.02E-03	 	 	 	 	IL4	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	phosphorylation	Phosphorylation of glucose-6-phosphate	7.02E-03	 	 	 	 	HK2	1	
Cell Morphology	plasticity	Plasticity of bone cancer cell lines	7.02E-03	 	 	 	 	ENG	1	
Cell Morphology	plasticity	Plasticity of melanoma cell lines	7.02E-03	 	 	 	 	ENG	1	
Cell Morphology	plasticity	Plasticity of sarcoma cell lines	7.02E-03	 	 	 	 	ENG	1	
Cell Morphology, Nervous System Development and Function	polarization	Polarization of astrocytes	7.02E-03	 	 	 	 	PRKCZ	1	
Cell Morphology, Cellular Assembly and Organization, Nervous System Development and Function	polarization	Polarization of axons	7.02E-03	 	 	 	 	PRKCZ	1	
Nervous System Development and Function, Organ Development	presence	Presence of corpus callosum	7.02E-03	 	 	 	 	NFIA	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hematopoiesis, Immune Cell Trafficking, Inflammatory Response	priming	Priming of thymocytes	7.02E-03	 	 	 	 	IL4	1	
RNA Post-Transcriptional Modification	processing	Processing of RNA fragment	7.02E-03	 	 	 	 	DICER1	1	
RNA Post-Transcriptional Modification	processing	Processing of dsRNA	7.02E-03	 	 	 	 	DICER1	1	
Neurological Disease	progressive motor neuropathy	Progressive motor neuropathy of sciatic nerve	7.02E-03	 	 	 	 	PMP22	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function	proliferation	Proliferation of cortical astrocytes	7.02E-03	 	 	 	 	SLC8B1	1	
Cardiovascular System Development and Function, Cellular Growth and Proliferation, Organ Development	proliferation	Proliferation of epicardial cells	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Cellular Growth and Proliferation, Digestive System Development and Function, Organ Development	proliferation	Proliferation of gastric mucous cells	7.02E-03	 	 	 	 	TFF2	1	
Hair and Skin Development and Function	proliferation	Proliferation of hair follicle	7.02E-03	 	 	 	 	DICER1	1	
Endocrine System Development and Function, Organ Morphology, Tissue Morphology	quantity	Quantity of adrenocortical cells	7.02E-03	 	 	 	 	ANGPT2	1	
Cardiovascular System Development and Function, Connective Tissue Development and Function, Organ Morphology, Tissue Morphology	quantity	Quantity of adventitial fibroblasts	7.02E-03	 	 	 	 	ANGPT2	1	
Cellular Assembly and Organization, Cellular Function and Maintenance, Nervous System Development and Function, Tissue Morphology	quantity	Quantity of ipsilateral projection of retinal ganglion cell	7.02E-03	 	 	 	 	DICER1	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tissue Morphology, Tumor Morphology	quantity	Quantity of non-small-cell lung cancer cells	7.02E-03	 	 	 	 	CTSB	1	
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of spleen-derived dendritic cells	7.02E-03	 	 	 	 	RPTOR	1	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of virtual memory CD8+ T-lymphocytes	7.02E-03	 	 	 	 	IL4	1	
Lipid Metabolism, Nucleic Acid Metabolism, Small Molecule Biochemistry	reduction	Reduction of trans-2-hexenoyl-coenzyme A	7.02E-03	 	 	 	 	MECR	1	
Skeletal and Muscular System Development and Function	refractoriness	Refractoriness of muscle cells	7.02E-03	 	 	 	 	KCNH2	1	
Cellular Function and Maintenance	regulation	Regulation of cardiomyocytes	7.02E-03	 	 	 	 	SLC8B1	1	
Tissue Morphology	remodeling	Remodeling of basal lamina	7.02E-03	 	 	 	 	ANGPT2	1	
Cardiovascular System Development and Function, Tissue Morphology	remodeling	Remodeling of vascular endothelial tissue	7.02E-03	 	 	 	 	ENG	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	reorganization	Reorganization of intermediate filament cytoskeleton	7.02E-03	 	 	 	 	PRKCZ	1	
Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities	resistance to insulin-like growth factor I	Resistance to insulin-like growth factor I	7.02E-03	 	 	 	 	IGF1R	1	
Tissue Development	response	Response of olfactory epithelium	7.02E-03	 	 	 	 	ADCY3	1	
Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	retinal cone dystrophy 3A	Retinal cone dystrophy 3A	7.02E-03	 	 	 	 	PDE6H	1	
Cardiovascular Disease, Developmental Disorder, Endocrine System Disorders, Hereditary Disorder, Metabolic Disease, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities	Say-Barber-Biesecker-Young-Simpson syndrome	Say-Barber-Biesecker-Young-Simpson syndrome	7.02E-03	 	 	 	 	KAT6B	1	
Cancer, Cell-To-Cell Signaling and Interaction, Organismal Injury and Abnormalities, Tumor Morphology	sensitization	Sensitization of chronic lymphocytic leukemia B cells	7.02E-03	 	 	 	 	IL4	1	
Cell Morphology	shape	Shape of fibrosarcoma cell lines	7.02E-03	 	 	 	 	GPI	1	
Cell Morphology, Nervous System Development and Function, Organ Morphology, Organismal Development, Tissue Morphology	size	Size of medium spiny neurons	7.02E-03	 	 	 	 	DICER1	1	
Embryonic Development, Organismal Development, Tissue Morphology	size	Size of metanephros	7.02E-03	 	 	 	 	IGF1R	1	
Behavior, Cell-To-Cell Signaling and Interaction	social communication	Social communication	7.02E-03	 	 	 	 	SHANK2	1	
Embryonic Development, Organismal Development, Tissue Development	specification	Specification of adrenogonadal primordium	7.02E-03	 	 	 	 	CITED2	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Tissue Morphology	spinal muscular atrophy with congenital bone fractures 2	Spinal muscular atrophy with congenital bone fractures 2	7.02E-03	 	 	 	 	ASCC1	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Immunological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	spondyloenchondrodysplasia with immune dysregulation	Spondyloenchondrodysplasia with immune dysregulation	7.02E-03	 	 	 	 	ACP5	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	spondylometaphyseal dysplasia with cone-rod dystrophy	Spondylometaphyseal dysplasia with cone-rod dystrophy	7.02E-03	 	 	 	 	PCYT1A	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic cancer	Stage 2b moderately-differentiated pancreatic cancer	7.02E-03	 	 	 	 	GPI	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreatic cancer	Stage 2b poorly differentiated pancreatic cancer	7.02E-03	 	 	 	 	GPI	1	
Cancer, Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	stimulation	Stimulation of mantle cell lymphoma cells	7.02E-03	 	 	 	 	IL4	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	subacute GM2-gangliosidosis	Subacute GM2-gangliosidosis	7.02E-03	 	 	 	 	HEXA	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function	suppression	Suppression of Th17 cells	7.02E-03	 	 	 	 	IL4	1	
Cardiovascular Disease, Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities	susceptibility to acquired long QT syndrome type 2	Susceptibility to acquired long QT syndrome type 2	7.02E-03	 	 	 	 	KCNH2	1	
Developmental Disorder, Neurological Disease, Psychological Disorders	susceptibility to autism type 17	Susceptibility to autism type 17	7.02E-03	 	 	 	 	SHANK2	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	Tay-Sachs disease variant B1	Tay-Sachs disease variant B1	7.02E-03	 	 	 	 	HEXA	1	
Cancer, Developmental Disorder, Endocrine System Disorders, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	thyroid mucosa associated lymphoid tissue lymphoma	Thyroid mucosa associated lymphoid tissue lymphoma	7.02E-03	 	 	 	 	FOXP1	1	
Cellular Movement	trafficking	Trafficking of proximal tubule cells	7.02E-03	 	 	 	 	KIF3B	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Immune Cell Trafficking, Inflammatory Response, Lymphoid Tissue Structure and Development, Tissue Development	transdifferentiation	Transdifferentiation of monocytes	7.02E-03	 	 	 	 	IL4	1	
Cellular Movement, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking	transendothelial migration	Transendothelial migration of basophils	7.02E-03	 	 	 	 	ENG	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	transendothelial migration	Transendothelial migration of bone marrow-derived neutrophils	7.02E-03	 	 	 	 	ENG	1	
Amino Acid Metabolism, Small Molecule Biochemistry	translocation	Translocation of L-arginine	7.02E-03	 	 	 	 	SLC7A1	1	
Gastrointestinal Disease, Organismal Injury and Abnormalities	ulceration	Ulceration of gastric mucosa	7.02E-03	 	 	 	 	TFF2	1	
Lipid Metabolism, Small Molecule Biochemistry	upregulation	Upregulation of ceramide	7.02E-03	 	 	 	 	DDIT4	1	
Cardiovascular Disease, Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities	ventricular septal defect type 2	Ventricular septal defect type 2	7.02E-03	 	 	 	 	CITED2	1	
Cell Morphology, Organ Morphology, Skeletal and Muscular System Development and Function, Tissue Morphology	volume	Volume of vascular smooth muscle cells	7.02E-03	 	 	 	 	ANGPT2	1	
Connective Tissue Disorders, Dermatological Diseases and Conditions, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Waardenburg syndrome type 2A	Waardenburg syndrome type 2A	7.02E-03	 	 	 	 	MITF	1	
Cancer, Cardiovascular Disease, Organismal Injury and Abnormalities	hemangioblastoma	Hemangioblastoma	7.17E-03	 	 	 	 	DICER1,IKZF3,KAT6B	3	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of lymphoid organ	7.21E-03	 	 	 	 	BNIP3L,STEAP3,IL5RA,PRKCH,IKZF3,BANK1,TLE4,CITED2,PPT2	9	
Dermatological Diseases and Conditions, Inflammatory Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	juvenile dermatomyositis	Juvenile dermatomyositis	7.53E-03	 	 	 	 	BNIP3L,ENG,CYB561	3	
Cell Death and Survival	apoptosis	Apoptosis of blood cells	7.55E-03	 	 	 	 	SIGLEC8,LRIG1,RPTOR,DICER1,FOXP1,BNIP3L,IL4,IL5RA,TLE4,ST3GAL1,MS4A2	11	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	small cell lymphocytic lymphoma/chronic lymphocytic leukemia	Small cell lymphocytic lymphoma/chronic lymphocytic leukemia	7.56E-03	 	 	 	 	IL4,PSMC3IP,IKZF3,KCNH2,TRAPPC9,LPIN1,TNIK,LRIG1,STEAP3,SHANK2,TMEM131,SMARCD3,EGFLAM	13	
Cellular Assembly and Organization	accumulation	Accumulation of lysosome	7.75E-03	 	 	 	 	IGF1R,CTSB	2	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of eosinophils	7.75E-03	 	 	 	 	SIGLEC8,IL4	2	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	parakeratosis	Parakeratosis	7.75E-03	 	 	 	 	LRIG1,RBL2	2	
Cell Death and Survival	apoptosis	Apoptosis of lymphatic system cells	7.89E-03	 	 	 	 	LRIG1,DICER1,FOXP1,BNIP3L,STEAP3,IL4,IL5RA,ST3GAL1,TLE4	9	
Endocrine System Disorders, Gastrointestinal Disease, Metabolic Disease, Organismal Injury and Abnormalities	diabetes mellitus	Diabetes mellitus	8.04E-03	 	 	 	 	ITIH4,COL15A1,FOXP1,SLC17A4,IL4,NISCH,IKZF3,CLEC12A,NR0B2,KCNH2,IGF1R,SLC2A9,LRIG1,PCYT1A,CTSB,MED27,FBP1,HK2,BANK1,PPT2	20	
Cellular Development, Embryonic Development, Hair and Skin Development and Function, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of keratinocytes	8.14E-03	 	 	 	 	IRF6,LPIN1,LRIG1,RBL2,PRKCH	5	
Cellular Development, Cellular Growth and Proliferation, Digestive System Development and Function, Hepatic System Development and Function, Organ Development, Tissue Development	proliferation	Proliferation of hepatocytes	8.14E-03	 	 	 	 	IGF1R,ITIH4,DICER1,IL4,CITED2	5	
Cellular Movement	infiltration	Infiltration by myeloid cells	8.19E-03	 	 	 	 	IRF6,PTGDR2,SIGLEC8,ANGPT2,DICER1,CTSB,IL4,PPT2	8	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	hematopoiesis	Hematopoiesis in embryo	8.28E-03	 	 	 	 	ZFPM1,ENG,ARID3A	3	
Cellular Development, Tissue Development	differentiation	Differentiation of epithelial tissue	8.50E-03	 	 	 	 	IGF1R,IRF6,LPIN1,LRIG1,ANGPT2,RBL2,SAFB2,PRKCH,MITF	9	
Cell Death and Survival, Skeletal and Muscular System Development and Function	cell viability	Cell viability of muscle cell lines	8.57E-03	 	 	 	 	IGF1R,CTSB	2	
Neurological Disease	demyelination	Demyelination of neurons	8.57E-03	 	 	 	 	LPIN1,DICER1	2	
Cancer, Organismal Injury and Abnormalities	frequency	Frequency of tumor	8.57E-03	 	 	 	 	CTSB,ENG	2	
Cell Morphology, Cellular Function and Maintenance	permeability	Permeability of colorectal cancer cell lines	8.57E-03	 	 	 	 	IL4,PPP2CA	2	
Cancer, Organismal Injury and Abnormalities	urogenital cancer	Urogenital cancer	8.63E-03	 	 	 	 	SOGA1,RBL2,BNIP3L,EHF,MITF,OSBPL3,PLGRKT,IRF6,GDF5OS,TRAPPC9,LPIN1,RALB,TNIK,LRIG1,DICER1,ATP2C1,LRP12,PRKCH,DNAH17,ASCC1,ARID3A,ELOVL7,SLC7A1,ABCB9,SAFB2,DDIT4,ENG,PSMC3IP,CATSPER4,IGF1R,SLC2A9,RPTOR,RPS6KA2,TMEM131,ACP5,TFF2,SHANK2,CS,ZNF862,SMARCD3,SUGT1,ZFPM1,SEC16B,YWHAQ,AP5B1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,MS4A2,POLR2B,KRT19,STEAP3,MED27,EGFLAM,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,PMP22,PPP2CA,ITIH4,KIF5C,ANGPT2,COL15A1,IL4,VKORC1L1,IL5RA,NISCH,ATL3,CLEC12A,ACOT7,CTSB,MCC,FOXK2,KAT6B,RNASE2	80	
Cellular Development, Tissue Development	differentiation	Differentiation of epithelial cells	8.66E-03	 	 	 	 	IGF1R,IRF6,LPIN1,LRIG1,RBL2,SAFB2,PRKCH,MITF	8	
Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal dominant Emery-Dreifuss muscular dystrophy	Autosomal dominant Emery-Dreifuss muscular dystrophy	8.68E-03	 	 	 	 	BNIP3L,ENG,CYB561	3	
Metabolic Disease	glucose metabolism disorder	Glucose metabolism disorder	8.78E-03	 	 	 	 	ITIH4,COL15A1,FOXP1,SLC17A4,IL4,NISCH,IKZF3,CLEC12A,NR0B2,KCNH2,IGF1R,LPIN1,SLC2A9,LRIG1,DICER1,PCYT1A,CTSB,MED27,SMARCD3,FBP1,HK2,BANK1,PPT2	23	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cell movement	Cell movement of granulocytes	8.83E-03	 	 	 	 	IRF6,DAPK2,PTGDR2,SIGLEC8,ANGPT2,DICER1,CTSB,IL4,ENG	9	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG2a	8.85E-03	 	 	 	 	TANK,IL4,IKZF3,BANK1	4	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of phagocytes	9.24E-03	 	 	 	 	IRF6,DAPK2,PTGDR2,ANGPT2,RPTOR,DICER1,CTSB,IL4,ENG,PRKCZ,RNASE2,PPT2	12	
Cellular Compromise, Hypersensitivity Response, Inflammatory Response	degranulation	Degranulation of BMMC cells	9.43E-03	 	 	 	 	IL4,EHF	2	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of Langerhans cells	9.43E-03	 	 	 	 	RPTOR,IL4	2	
Cancer, Cellular Development, Cellular Growth and Proliferation, Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease, Tumor Morphology	proliferation	Proliferation of ovarian cancer cells	9.43E-03	 	 	 	 	IGF1R,PPP2CA	2	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	abnormal bone density	Abnormal bone density	9.55E-03	 	 	 	 	DICER1,ACP5,ATP2C1,IL4,MITF,NCK1	6	
Cell Death and Survival	cell death	Cell death of lymphocytes	9.61E-03	 	 	 	 	LRIG1,DICER1,FOXP1,CTSB,DDIT4,IL4,IL5RA,TLE4,ST3GAL1	9	
Cellular Development, Cellular Growth and Proliferation, Endocrine System Development and Function	proliferation	Proliferation of endocrine cells	9.67E-03	 	 	 	 	IGF1R,ANGPT2,DICER1,TFF2	4	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of myeloid leukocytes	9.74E-03	 	 	 	 	ZFPM1,IGF1R,RALB,SIGLEC8,FOXP1,IL4,CITED2	7	
Organismal Development	abnormal morphology	Abnormal morphology of body cavity	9.81E-03	 	 	 	 	ZFPM1,RBL2,BNIP3L,IL4,IL5RA,NFIA,PSMC3IP,IKZF3,KIF26A,HEXA,CITED2,KIF3B,NCSTN,SLC2A9,RPS6KA2,TFF2,STEAP3,ARID3A,BANK1,TLE4,PPT2	21	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	digestive organ tumor	Digestive organ tumor	9.82E-03	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,KIF3B,IGF1R,PRR35,ACP5,TFF2,TMEM131,CS,ZNF862,EVL,ATPAF2,PPT2,SEC16B,AP5B1,FOXP1,RHOBTB2,NOM1,TMEM104,LPCAT2,CYB561,MS4A2,KRT19,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,GDF5OS,IRF6,TRAPPC9,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,GID4,CTSB,MCC,IRGC	116	
Cellular Growth and Proliferation	proliferation	Arrest in proliferation of cells	9.90E-03	 	 	 	 	IGF1R,YWHAQ,RBL2,IL4,ENG,MITF	6	
Cell Death and Survival, Skeletal and Muscular System Development and Function	cell viability	Cell viability of muscle cells	9.92E-03	 	 	 	 	IGF1R,ANGPT2,HK2	3	
Cellular Movement, Hematological System Development and Function, Hypersensitivity Response, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by eosinophils	9.92E-03	 	 	 	 	SIGLEC8,PTGDR2,IL4	3	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of spleen	1.02E-02	 	 	 	 	BNIP3L,STEAP3,IL5RA,IKZF3,BANK1,CITED2,PPT2	7	
Cellular Assembly and Organization, Cellular Function and Maintenance	organization	Organization of cytoskeleton	1.02E-02	 	 	 	 	KIF5C,ANGPT2,CSRP1,ENG,NFIA,MS4A2,KIF3B,IGF1R,LPIN1,RALB,TNIK,ADCY3,DICER1,FBXW8,ATP2C1,SHANK2,LRP12,PRKCH,EVL,PRKCZ,NCK1,GPI,PMP22,PPP2CA	24	
Cell Death and Survival	apoptosis	Apoptosis of leukocytes	1.03E-02	 	 	 	 	SIGLEC8,LRIG1,RPTOR,DICER1,FOXP1,IL4,IL5RA,TLE4,ST3GAL1,MS4A2	10	
Organismal Injury and Abnormalities, Renal and Urological Disease	injury	Injury of renal glomerulus	1.03E-02	 	 	 	 	ANGPT2,DICER1	2	
Cellular Compromise, Inflammatory Response	degranulation	Degranulation of phagocytes	1.04E-02	 	 	 	 	PRG2,LPIN1,IL4,EHF,MS4A2	5	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	plasma cell dyscrasia	Plasma cell dyscrasia	1.05E-02	 	 	 	 	TNIK,RPTOR,RBL2,ACP5,DAP,IL4,PRKCZ,CITED2,KCNH2,PPP2CA	10	
Embryonic Development, Hematological System Development and Function, Humoral Immune Response, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Organismal Injury and Abnormalities, Tissue Development, Tissue Morphology	abnormal morphology	Abnormal morphology of germinal center	1.08E-02	 	 	 	 	IL4,IKZF3,BANK1	3	
Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymphatic system cells	1.08E-02	 	 	 	 	TANK,RBL2,BNIP3L,IL4,IL5RA,IKZF3,IGF1R,RPTOR,DICER1,CTSB,PRKCH,ARID3A,BANK1,TLE4,ST3GAL1	15	
Cancer, Gastrointestinal Disease, Inflammatory Disease, Organismal Injury and Abnormalities	Barrett syndrome	Barrett syndrome	1.13E-02	 	 	 	 	IL4,ENG,ASCC1	3	
Cell Cycle	cell cycle progression	Arrest in cell cycle progression of prostate cancer cell lines	1.13E-02	 	 	 	 	DDIT4,EHF	2	
Lipid Metabolism, Small Molecule Biochemistry	catabolism	Catabolism of fatty acid	1.13E-02	 	 	 	 	LPIN1,ACOT7	2	
Cell Death and Survival, Organismal Injury and Abnormalities, Respiratory Disease	cell death	Cell death of pneumocytes	1.13E-02	 	 	 	 	PRG2,EPX	2	
Organismal Development	fat body mass	Fat body mass	1.13E-02	 	 	 	 	IGF1R,NR0B2	2	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	fusion	Fusion of plasma membrane	1.13E-02	 	 	 	 	RALB,NAPA	2	
Organ Morphology, Tissue Morphology	quantity	Quantity of glandular epithelial cells	1.13E-02	 	 	 	 	DICER1,TFF2	2	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	stimulation	Stimulation of epithelial cells	1.13E-02	 	 	 	 	IL4,EPX	2	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	digestive system cancer	Digestive system cancer	1.13E-02	 	 	 	 	ERI3,DAPK2,DMAP1,SOGA1,C1orf198,SLC25A33,MITF,BAG2,PLGRKT,LRIG1,PCYT1A,PRR25,ATP2C1,LRP12,DNAH17,ASCC1,ARID3A,NCK1,TLE4,RHBDD2,ABCB9,C15orf54,NFIA,PSMC3IP,CITED2,IGF1R,PRR35,ACP5,TFF2,TMEM131,CS,ZNF862,EVL,ATPAF2,SEC16B,AP5B1,FOXP1,RHOBTB2,NOM1,TMEM104,LPCAT2,CYB561,MS4A2,KRT19,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,HK2,PHF19,ST3GAL1,TLDC2,PPP2CA,ITIH4,COL15A1,TMEM41A,IL4,NISCH,ATL3,CLEC12A,ACOT7,GSE1,KAT6B,BANK1,RBL2,BNIP3L,EHF,GDF5OS,IRF6,TRAPPC9,TNIK,DICER1,ADCY3,FBXW8,PRKCH,GPI,SLC25A25,SLC7A1,SAFB2,DDIT4,ENG,KIF26A,PDE6H,SLC2A9,RPTOR,RPS6KA2,SHANK2,SUGT1,ZFPM1,SIGLEC8,MECR,METRNL,ATXN7L1,VPS52,KCNH2,POLR2B,ERMAP,STEAP3,EGFLAM,FBP1,PMP22,SERINC5,KIF5C,ANGPT2,SLC17A4,MSMP,TOMM34,IL5RA,NR0B2,GID4,CTSB,MCC,IRGC	114	
Immunological Disease	systemic autoimmune syndrome	Systemic autoimmune syndrome	1.13E-02	 	 	 	 	ITIH4,SLC7A1,SLC17A4,NOM1,IL4,VPS52,MITF,IKZF3,HEXA,CLEC12A,RALB,DICER1,GID4,ATP2C1,CTSB,PHF19,BANK1,RNASE2,PPT2,PPP2CA	20	
Cancer, Organismal Injury and Abnormalities	genitourinary carcinoma	Genitourinary carcinoma	1.14E-02	 	 	 	 	SOGA1,RBL2,BNIP3L,EHF,MITF,OSBPL3,PLGRKT,IRF6,GDF5OS,TRAPPC9,LPIN1,RALB,TNIK,LRIG1,DICER1,ATP2C1,LRP12,PRKCH,DNAH17,ASCC1,ARID3A,SLC7A1,ABCB9,SAFB2,DDIT4,ENG,PSMC3IP,CATSPER4,IGF1R,SLC2A9,RPTOR,RPS6KA2,TMEM131,ACP5,TFF2,SHANK2,CS,ZNF862,SUGT1,ZFPM1,SEC16B,AP5B1,RHOBTB2,NAPA,NOM1,TMEM104,IKZF3,MS4A2,POLR2B,KRT19,STEAP3,MED27,EGFLAM,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,PMP22,ITIH4,KIF5C,ANGPT2,COL15A1,IL4,VKORC1L1,IL5RA,NISCH,ATL3,CLEC12A,ACOT7,CTSB,MCC,FOXK2,KAT6B	74	
Cell Death and Survival, Hematological System Development and Function	cell viability	Cell viability of B lymphocytes	1.14E-02	 	 	 	 	DICER1,RPTOR,IL4,PRKCZ	4	
Cellular Development, Skeletal and Muscular System Development and Function, Tissue Development	differentiation	Differentiation of muscle	1.15E-02	 	 	 	 	ANGPT2,RPTOR,DICER1,SMARCD3,ENG,PRKCZ,RNASE2,CITED2	8	
